TRACE stage=00 rms=3.422944e-2 absmax=1.423798e-1 mean=4.572530e-4 last=[2.802730e-3,-3.091246e-2,-1.173019e-2,-1.955032e-3,-5.239105e-2,1.582646e-2,1.728630e-2,2.246082e-3,-2.006936e-2,2.087593e-2,4.475534e-2,-2.628833e-2,0.000000e0,-4.197681e-2,-2.273083e-3,2.118838e-2]
TRACE stage=01 rms=1.464860e-2 absmax=2.929332e-1 mean=5.033900e-5 last=[-8.780770e-4,1.102472e-2,-3.352066e-3,1.341534e-2,-6.196387e-2,4.411011e-3,7.176882e-3,2.102194e-3,-6.127925e-3,-1.290998e-2,-3.845095e-3,-1.423403e-3,-3.535673e-5,-9.793418e-3,7.218203e-3,-1.615362e-3]
TRACE stage=02 rms=9.227765e-3 absmax=2.927172e-1 mean=2.128858e-5 last=[-1.990573e-3,1.775414e-3,5.513093e-3,2.954776e-3,-2.874272e-2,2.618414e-3,2.380718e-3,-1.431290e-3,-5.860170e-3,-1.806218e-3,-2.080880e-3,6.082646e-3,2.249099e-3,-7.967835e-3,4.110881e-3,-6.382586e-3]
TRACE stage=03 rms=1.013581e-2 absmax=1.803894e-1 mean=-6.592501e-5 last=[4.322471e-3,3.559855e-3,7.543697e-3,-5.687931e-3,-3.676035e-2,-4.798807e-4,-2.549123e-5,2.062059e-3,-8.006295e-3,1.940173e-3,-7.993582e-3,1.393615e-3,-2.802263e-3,-8.071866e-5,3.022261e-3,-2.159653e-3]
TRACE stage=04 rms=1.050437e-2 absmax=1.761264e-1 mean=-5.560516e-5 last=[-8.945768e-4,6.166528e-3,5.823832e-3,-6.911210e-3,-3.481540e-2,-3.222731e-3,4.713153e-4,1.788752e-3,-6.652494e-3,6.922979e-3,-1.283919e-2,3.197624e-3,-2.067960e-4,-6.430806e-3,-8.598308e-4,3.666798e-3]
TRACE stage=05 rms=1.192595e-2 absmax=3.085818e-1 mean=-9.282778e-5 last=[-1.751757e-3,3.262033e-3,4.591717e-3,-1.063291e-2,-2.922888e-2,-8.869050e-3,-4.659959e-3,2.330605e-3,-2.557780e-3,8.930180e-3,-1.277815e-2,4.041242e-3,-7.908102e-4,-4.883231e-3,3.132556e-3,-2.437377e-3]
TRACE stage=06 rms=1.347633e-2 absmax=4.158608e-1 mean=-1.063965e-4 last=[-2.192693e-3,5.326007e-3,5.525413e-3,-1.980339e-2,-2.597095e-2,-7.012341e-3,-8.260193e-3,-5.359741e-3,6.381751e-4,1.233053e-2,-1.447786e-3,6.524686e-3,-7.018642e-4,-6.103482e-3,6.634317e-3,2.557423e-3]
TRACE stage=07 rms=1.713927e-2 absmax=3.579350e-1 mean=-1.910123e-4 last=[-1.958315e-2,8.054388e-3,9.920176e-3,-1.816146e-2,6.882303e-3,-5.970923e-3,-1.212190e-2,-1.479683e-2,9.683711e-3,5.774820e-3,2.014784e-2,1.588954e-2,-6.324735e-3,-7.678850e-3,-1.022253e-2,-6.592463e-3]
TRACE stage=08 rms=1.814350e-2 absmax=4.045742e-1 mean=-1.947354e-4 last=[-1.703681e-2,7.429579e-4,-1.453439e-3,-1.885952e-3,-2.813730e-3,-6.888898e-4,-1.440108e-2,-1.124606e-2,1.935522e-2,6.969510e-3,1.744272e-2,1.148859e-2,-1.415635e-2,-4.880514e-4,-1.037513e-3,-9.606795e-3]
TRACE stage=09 rms=1.935946e-2 absmax=4.965394e-1 mean=-1.356919e-4 last=[-1.152027e-2,-3.966046e-4,-6.435254e-3,-5.925875e-3,-6.682094e-3,1.378044e-3,-1.766337e-2,-5.965035e-3,1.938922e-2,6.792579e-3,1.462192e-2,1.554404e-2,-1.414661e-2,4.587105e-3,-6.018414e-3,-1.478815e-3]
TRACE stage=10 rms=2.192201e-2 absmax=4.569692e-1 mean=-9.644995e-5 last=[-6.681004e-3,-4.003747e-3,1.880110e-3,-2.005079e-2,-1.754948e-2,-2.549865e-3,-2.661255e-2,-7.348070e-3,2.681189e-2,5.556855e-3,1.261796e-2,1.972745e-2,-1.055773e-2,1.521705e-2,-1.447258e-3,-2.074226e-2]
TRACE stage=11 rms=3.281402e-2 absmax=6.078207e-1 mean=-1.087428e-4 last=[6.311325e-3,-7.840125e-4,2.148991e-3,-7.895378e-3,1.299039e-2,-7.339300e-3,-2.271524e-2,7.804727e-3,1.946474e-2,-1.604518e-2,9.300547e-3,1.612069e-2,-3.398985e-2,3.589168e-2,-1.572352e-2,-6.297190e-3]
TRACE stage=12 rms=3.516467e-2 absmax=6.305229e-1 mean=-5.196358e-6 last=[1.060122e-2,1.015196e-2,1.041723e-2,1.211294e-3,1.920048e-2,-1.269937e-2,-2.029465e-2,9.751391e-3,2.218586e-2,-6.295050e-3,9.731158e-3,8.798549e-3,-3.192530e-2,5.459042e-2,-4.844557e-3,-1.206457e-2]
TRACE stage=13 rms=3.552291e-2 absmax=5.844870e-1 mean=1.875407e-4 last=[1.166973e-2,1.456250e-3,1.244560e-2,9.226969e-3,3.060168e-2,-1.125434e-2,-7.272808e-3,-2.512392e-3,1.926752e-2,7.108133e-4,8.003172e-3,6.408621e-3,-2.590540e-2,5.137224e-2,-1.396301e-2,-1.264975e-2]
TRACE stage=14 rms=3.694978e-2 absmax=5.993171e-1 mean=3.149268e-4 last=[1.462794e-2,9.926702e-4,4.638669e-3,2.969605e-3,5.220487e-2,-1.367756e-2,1.855645e-2,2.082858e-3,2.298747e-2,8.772554e-3,2.508846e-2,8.339470e-3,-1.454749e-2,8.083630e-2,-2.112746e-2,-3.202708e-2]
TRACE stage=15 rms=6.044649e-2 absmax=1.214748e0 mean=3.941502e-4 last=[-7.464863e-2,3.339548e-2,-2.892731e-3,2.750988e-2,-3.204651e-2,-4.730796e-2,7.016081e-2,-2.917124e-2,2.853041e-2,-4.080725e-2,4.049151e-2,-6.665292e-2,-4.547390e-2,7.058831e-2,1.023190e-2,-3.335961e-2]
TRACE stage=16 rms=6.472589e-2 absmax=1.304444e0 mean=-1.496209e-4 last=[-5.997973e-2,3.950343e-2,-2.706926e-3,4.058008e-2,-2.394263e-2,-4.399036e-2,1.004499e-1,-2.749103e-2,2.011816e-2,-5.543970e-2,1.849401e-2,-8.396692e-2,-1.512696e-2,5.541769e-2,-1.539569e-2,-3.405990e-2]
TRACE stage=17 rms=7.294785e-2 absmax=1.658669e0 mean=-1.237515e-3 last=[-3.269334e-2,6.264333e-3,-1.700843e-2,1.647332e-2,-6.557843e-2,-4.443350e-2,1.007707e-1,2.299476e-2,-2.193110e-2,-4.565149e-2,-1.253750e-2,-5.469945e-2,-2.176999e-2,6.963909e-2,4.318221e-2,-3.451706e-2]
TRACE stage=18 rms=8.651838e-2 absmax=2.144965e0 mean=-1.364282e-3 last=[-3.302256e-2,1.793603e-3,-2.098932e-2,1.702525e-2,-2.542337e-2,-3.262141e-3,9.824157e-2,2.447085e-2,-2.352708e-2,-1.880594e-2,-5.856725e-2,-7.306200e-2,-1.123438e-2,5.803994e-2,1.408118e-2,7.338865e-3]
TRACE stage=19 rms=1.443450e-1 absmax=3.118426e0 mean=-6.309752e-4 last=[6.801465e-2,8.343631e-2,5.405289e-2,6.990066e-2,-2.482353e-1,-1.773690e-1,1.669919e-1,-2.736244e-2,8.839533e-3,-1.101704e-1,-8.004198e-2,-6.371771e-2,9.168492e-2,1.628197e-1,-1.650617e-2,8.967408e-2]
TRACE stage=20 rms=1.535874e-1 absmax=3.526270e0 mean=-9.854337e-4 last=[3.458170e-2,6.029432e-2,-1.942655e-2,1.918386e-2,-2.349772e-1,-2.201664e-1,1.972454e-1,2.405337e-2,-9.736104e-2,-9.168164e-2,-8.742561e-2,-3.381066e-2,7.433537e-2,1.967782e-1,-3.132902e-2,1.791088e-3]
TRACE stage=21 rms=1.530745e-1 absmax=3.044576e0 mean=-4.462533e-4 last=[-2.351394e-3,2.222903e-2,-3.064789e-2,9.566991e-3,-2.591941e-1,-1.610510e-1,1.680361e-1,4.059437e-2,-1.054022e-1,-2.405196e-2,-7.996467e-2,2.100348e-2,7.895391e-2,1.833306e-1,-2.071638e-2,4.077380e-3]
TRACE stage=22 rms=3.257467e-1 absmax=4.403036e0 mean=-1.282004e-3 last=[1.117887e-1,1.318059e-1,-2.280615e-1,7.859070e-2,-2.015084e-1,1.392341e-1,-1.258503e-1,-3.298196e-1,3.680881e-1,1.197214e-1,-6.957890e-2,-8.466716e-2,-2.234871e-2,-1.289764e-1,2.154902e-1,-3.241419e-1]
TRACE stage=23 rms=3.307824e-1 absmax=4.711267e0 mean=2.291623e-3 last=[1.205169e-1,-3.856412e-2,-2.123652e-1,-1.141267e-2,-1.683906e-2,4.499060e-2,-1.275053e-1,-3.552580e-1,1.679587e-1,2.154086e-1,-1.267019e-1,-1.822703e-1,-1.092178e-1,-4.927451e-2,2.403962e-1,-2.077086e-1]
TRACE stage=24 rms=5.846944e-1 absmax=2.034003e1 mean=-3.980596e-3 last=[1.173354e-1,-1.330973e-1,-3.397647e-1,1.660117e-2,-7.543553e-2,2.073762e-1,-3.739004e-2,-3.259359e-1,1.980007e-1,1.322294e-1,-1.398351e-2,-1.591739e-1,-2.149196e-1,3.085949e-2,2.483552e-1,-3.023037e-1]
