TRACE stage=00 rms=2.227354e-2 absmax=7.521057e-2 mean=1.939925e-4 last=[2.438021e-2,-3.518021e-2,-3.165984e-2,-2.647418e-2,2.186298e-2,1.483560e-3,5.310774e-3,4.668236e-3,2.650023e-3,1.221955e-3,2.431870e-3,-1.687109e-3,1.569629e-2,-0.000000e0,-2.835560e-2,2.642226e-2]
TRACE stage=01 rms=1.081021e-2 absmax=2.199987e-1 mean=1.503581e-4 last=[2.334222e-3,-1.255892e-3,-1.278936e-2,2.733618e-3,3.913894e-3,-7.005777e-3,-5.551566e-3,-9.225734e-3,-6.251914e-3,-4.799644e-3,-6.543548e-3,3.784386e-3,3.014029e-3,3.395518e-3,5.064802e-4,6.979774e-3]
TRACE stage=02 rms=1.018175e-2 absmax=2.924366e-1 mean=1.625118e-4 last=[-1.612474e-3,1.538486e-3,-8.613186e-3,-1.063197e-3,-2.547382e-3,3.067443e-3,2.888259e-4,-5.361011e-3,-3.071936e-3,-1.579280e-3,5.784789e-4,-2.127746e-3,3.474609e-3,-5.328473e-3,1.236830e-3,2.130920e-3]
TRACE stage=03 rms=9.895153e-3 absmax=1.827326e-1 mean=-4.999516e-5 last=[7.594160e-3,8.938650e-3,-1.865878e-3,1.213300e-3,2.657842e-2,3.469055e-3,-9.425995e-3,-1.299324e-2,-3.792885e-3,4.056222e-3,6.615778e-3,-8.321061e-3,1.230991e-3,3.653927e-3,1.582188e-3,-1.393100e-4]
TRACE stage=04 rms=9.339888e-3 absmax=1.374415e-1 mean=-6.967041e-5 last=[5.326996e-3,7.043978e-3,-3.537966e-3,-2.336462e-3,3.199627e-2,3.375085e-3,-6.574138e-3,-1.585314e-2,-7.426541e-3,2.430270e-3,7.229174e-3,-7.140840e-3,9.956255e-4,-2.044280e-3,-3.673809e-4,-3.110868e-3]
TRACE stage=05 rms=9.326058e-3 absmax=1.239401e-1 mean=-2.980850e-5 last=[4.424258e-3,1.084289e-2,1.002508e-3,5.418664e-3,3.322788e-2,2.095257e-4,-5.890378e-3,-1.599960e-2,-1.172682e-2,3.230500e-3,5.508791e-3,-3.057256e-3,2.735852e-3,-4.750239e-3,-3.949826e-3,-1.009939e-2]
TRACE stage=06 rms=1.119222e-2 absmax=2.895629e-1 mean=-1.280524e-4 last=[1.220800e-3,1.294945e-2,5.895459e-3,4.017333e-3,3.407709e-2,1.784207e-3,-4.572721e-3,-1.614149e-2,-1.361038e-2,4.791632e-3,1.985007e-3,-2.644730e-3,-4.546166e-3,-3.739180e-3,-1.819320e-3,-1.721264e-3]
TRACE stage=07 rms=1.895285e-2 absmax=3.577168e-1 mean=-3.593674e-4 last=[-2.893695e-2,2.102384e-2,-8.441137e-3,-2.493850e-2,3.434592e-2,7.072002e-3,1.016457e-2,-2.669873e-2,-2.603402e-3,-9.573936e-3,5.833631e-3,1.248168e-2,-2.182841e-2,1.256213e-2,4.120737e-3,-2.605480e-3]
TRACE stage=08 rms=1.807033e-2 absmax=3.274727e-1 mean=-2.408860e-4 last=[-3.048051e-2,2.649729e-2,-1.782192e-2,-1.582474e-2,4.282654e-2,1.765863e-2,5.241626e-3,-2.046770e-2,4.503336e-4,-1.267004e-3,-6.591305e-4,1.068040e-2,-1.595496e-2,7.408424e-3,1.798296e-3,-4.067845e-3]
TRACE stage=09 rms=1.739692e-2 absmax=2.861710e-1 mean=-9.313539e-5 last=[-3.305532e-2,3.222903e-2,-1.487375e-2,-1.231257e-2,4.142940e-2,1.422182e-2,1.866682e-3,-1.936337e-2,2.566290e-3,1.088881e-2,-9.196332e-3,8.786470e-3,-4.112952e-3,2.191241e-3,-1.679265e-2,-3.444118e-3]
