TRACE stage=00 rms=3.344843e-2 absmax=1.501465e-1 mean=3.702333e-4 last=[-2.107024e-2,-3.160536e-2,-3.156316e-2,-6.312633e-2,-7.093906e-3,2.293289e-2,3.279448e-2,-5.300993e-2,-3.638685e-2,3.942847e-2,-2.155185e-3,-4.643250e-2,4.741681e-2,-1.959032e-2,1.024389e-2,3.325939e-2]
TRACE stage=01 rms=1.454675e-2 absmax=2.944847e-1 mean=3.418645e-5 last=[4.115554e-3,-1.876902e-2,-1.386817e-2,3.538858e-4,-7.458944e-2,-5.932540e-3,1.346554e-2,-2.300841e-2,1.811479e-2,-1.221807e-2,-1.835706e-2,-7.438877e-3,9.666856e-3,-1.307419e-2,-1.589982e-3,-4.842483e-3]
TRACE stage=02 rms=9.144006e-3 absmax=2.924280e-1 mean=1.129787e-5 last=[4.223243e-3,-9.944129e-3,-3.805260e-3,1.494336e-3,-5.829883e-2,-1.073088e-3,6.681323e-3,-8.797542e-3,8.481168e-3,-8.067323e-3,-6.964716e-3,-5.740002e-3,2.523449e-3,-1.092169e-2,-1.810507e-3,-2.245739e-3]
TRACE stage=03 rms=1.002056e-2 absmax=1.834481e-1 mean=-4.590829e-5 last=[4.091533e-3,-8.333581e-3,-7.132981e-3,-2.017890e-3,-8.181776e-2,-4.643069e-3,-4.432975e-3,-7.329389e-3,1.378082e-2,-6.831720e-3,2.672363e-3,-2.741787e-3,2.734179e-3,-4.437994e-3,3.077416e-5,-4.517417e-3]
TRACE stage=04 rms=1.048566e-2 absmax=1.752167e-1 mean=-5.698464e-5 last=[8.756015e-3,-9.804212e-3,-1.434887e-2,-7.214171e-3,-7.582776e-2,-1.884502e-3,-3.484855e-4,-5.977264e-3,1.349512e-2,-4.965591e-3,9.962029e-4,-4.478802e-3,-2.653843e-3,-3.211989e-3,-2.089835e-3,-9.687249e-3]
TRACE stage=05 rms=1.191895e-2 absmax=2.974770e-1 mean=-9.579159e-5 last=[1.009632e-2,-8.232459e-3,-1.527863e-2,-1.125373e-2,-7.372058e-2,7.182788e-4,7.307326e-4,4.685554e-5,1.699435e-2,-3.106400e-3,1.356596e-3,-4.138337e-3,1.247026e-3,-2.860211e-3,-2.812914e-3,-1.321026e-2]
TRACE stage=06 rms=1.332060e-2 absmax=4.155530e-1 mean=-6.885477e-5 last=[1.645900e-2,-6.762334e-3,-9.578970e-3,-6.545105e-3,-7.069283e-2,3.082633e-3,-2.921795e-3,-8.192046e-4,1.538520e-2,-2.409188e-3,9.441777e-3,-2.761371e-7,1.353346e-3,-5.057375e-3,-4.959866e-3,-1.190155e-2]
TRACE stage=07 rms=1.737421e-2 absmax=4.219588e-1 mean=-2.148222e-4 last=[9.522548e-3,4.385083e-3,-1.932910e-2,-2.062643e-3,-3.356322e-2,2.779765e-2,9.445682e-3,6.002122e-3,2.106015e-2,4.844741e-3,3.382163e-2,9.097707e-3,7.515752e-3,-1.265221e-2,4.378784e-3,-2.510683e-2]
TRACE stage=08 rms=1.835760e-2 absmax=4.116977e-1 mean=-2.026473e-4 last=[1.073031e-2,2.008210e-3,-2.000852e-2,3.408216e-3,-4.476390e-2,2.509277e-2,1.793821e-2,5.765349e-3,3.336186e-2,5.661396e-3,2.780975e-2,2.773282e-3,1.291634e-2,7.009016e-3,6.980699e-3,-2.224546e-2]
TRACE stage=09 rms=1.977174e-2 absmax=4.908986e-1 mean=-1.111424e-4 last=[1.827715e-2,1.619017e-3,-2.746533e-2,-9.145101e-3,-5.434867e-2,2.527652e-2,1.581558e-2,-7.262619e-4,3.996260e-2,-1.737211e-3,2.370238e-2,1.239402e-2,1.635920e-2,1.175313e-2,6.862339e-4,-1.740297e-2]
